Components:
FN service_registry 
FN config_server 
FN github_repository 
FN zipkin_server
TP department_service
TP user_service
FN hystrix_dashboard
FN api_gateway
FN user

Connections:
FN github_repository -> config_server 
FN config_server -> service_registry 
FN department_service -> zipkin_server 
FN config_server -> department_service 
FN department_service -> service_registry 
FN user_service -> zipkin_server 
FN config_server -> user_service 
FN user_service -> service_registry 
TP user_service -> department_service 
FN config_server -> hystrix_dashboard 
FN hystrix_dashboard -> service_registry 
FN api_gateway -> user 
FN user -> api_gateway 
FN service_registry -> api_gateway 
FN config_server -> api_gateway 
FN api_gateway -> user_service 
FN api_gateway -> department_service 
FN zipkin_server -> hystrix_dashboard 
