Groundtruth, attack-graph-generator, code2DFD, Contextmap, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
discovery_server, /, TP, /, /, /, /, /, /
ratings_data_service, /, TP, /, /, /, /, /, /
movie_info_service, /, TP, /, /, /, /, /, /
external_website, /, FN, /, /, /, /, /, /
movie_catalog_service, /, TP, /, /, /, /, /, /
ratings_data_service -> discovery_server, /, TP, /, /, /, /, /, /
movie_info_service -> discovery_server, /, TP, /, /, /, /, /, /
external_website -> movie_info_service, /, FN, /, /, /, /, /, /
movie_catalog_service -> discovery_server, /, TP, /, /, /, /, /, /
movie_catalog_service -> ratings_data_service, /, TP, /, /, /, /, /, /
movie_catalog_service -> movie_info_service, /, TP, /, /, /, /, /, /
