Groundtruth, attack-graph-generator, code2DFD, MicroDepGraph, microMiner, Prophet, RAD, RAD-source
apache_server, /, TP, /, /, TP, /, /
user, /, TP, /, /, FN, /, /
content_service, /, TP, /, /, FN, /, /
product_service, /, TP, /, /, FN, /, /
cart_service, /, TP, /, /, FN, /, /
user -> apache_server, /, TP, /, /, FN, FN, FN
apache_server -> user, /, TP, /, /, FN, FN, FN
cart_service -> product_service, /, FN, /, /, FN, FN, FN
apache_server -> cart_service, /, TP, /, /, FN, FN, FN
apache_server -> product_service, /, TP, /, /, FN, FN, FN
apache_server -> content_service, /, TP, /, /, FN, FN, FN
